district_code,category,scheme,allocated_inr_lakh,fiscal_year
TN_DINDIGUL,ROADS,PM Gram Sadak Yojana,2801.9,2026-27
TN_DINDIGUL,ELECTRICITY,Revamped Distribution Sector Scheme,3811.9,2026-27
TN_DINDIGUL,HEALTH,PM Ayushman Bharat Health Infra,4281.9,2026-27
TN_DINDIGUL,EDUCATION,Samagra Shiksha Abhiyan,2161.9,2026-27
TN_DINDIGUL,DIGITAL,BharatNet Broadband Infra,4211.9,2026-27
TN_DINDIGUL,HOUSING,PM Awas Yojana,3351.9,2026-27
TN_DINDIGUL,IRRIGATION,PM Krishi Sinchayee Yojana,2061.9,2026-27
TN_DINDIGUL,TRANSPORT,State Rural Transport Connect,5861.9,2026-27
TN_KANCHIPURAM,WATER_SUPPLY,Jal Jeevan Mission,3834.88,2026-27
TN_KANCHIPURAM,SANITATION,Swachh Bharat Mission (Grameen),4214.88,2026-27
TN_KANCHIPURAM,ROADS,PM Gram Sadak Yojana,4984.88,2026-27
TN_KANCHIPURAM,ELECTRICITY,Revamped Distribution Sector Scheme,2254.88,2026-27
TN_KANCHIPURAM,HEALTH,PM Ayushman Bharat Health Infra,1124.88,2026-27
TN_KANCHIPURAM,EDUCATION,Samagra Shiksha Abhiyan,2794.88,2026-27
TN_KANCHIPURAM,DIGITAL,BharatNet Broadband Infra,4344.88,2026-27
TN_KANCHIPURAM,HOUSING,PM Awas Yojana,2494.88,2026-27
TN_KANCHIPURAM,IRRIGATION,PM Krishi Sinchayee Yojana,954.88,2026-27
TN_KANCHIPURAM,TRANSPORT,State Rural Transport Connect,1864.88,2026-27
TN_CUDDALORE,WATER_SUPPLY,Jal Jeevan Mission,2512.66,2026-27
TN_CUDDALORE,SANITATION,Swachh Bharat Mission (Grameen),5802.66,2026-27
TN_CUDDALORE,ROADS,PM Gram Sadak Yojana,6112.66,2026-27
TN_CUDDALORE,ELECTRICITY,Revamped Distribution Sector Scheme,3932.66,2026-27
TN_CUDDALORE,HEALTH,PM Ayushman Bharat Health Infra,3252.66,2026-27
TN_CUDDALORE,EDUCATION,Samagra Shiksha Abhiyan,1912.66,2026-27
TN_CUDDALORE,DIGITAL,BharatNet Broadband Infra,5792.66,2026-27
TN_CUDDALORE,HOUSING,PM Awas Yojana,1662.66,2026-27
TN_CUDDALORE,IRRIGATION,PM Krishi Sinchayee Yojana,1962.66,2026-27
TN_CUDDALORE,TRANSPORT,State Rural Transport Connect,1842.66,2026-27
TN_TIRUPPUR,WATER_SUPPLY,Jal Jeevan Mission,2785.57,2026-27
TN_TIRUPPUR,SANITATION,Swachh Bharat Mission (Grameen),2125.57,2026-27
TN_TIRUPPUR,ROADS,PM Gram Sadak Yojana,6105.57,2026-27
TN_TIRUPPUR,ELECTRICITY,Revamped Distribution Sector Scheme,1395.57,2026-27
TN_TIRUPPUR,HEALTH,PM Ayushman Bharat Health Infra,4405.57,2026-27
TN_TIRUPPUR,EDUCATION,Samagra Shiksha Abhiyan,1255.57,2026-27
TN_TIRUPPUR,DIGITAL,BharatNet Broadband Infra,3195.57,2026-27
TN_TIRUPPUR,HOUSING,PM Awas Yojana,2145.57,2026-27
TN_TIRUPPUR,IRRIGATION,PM Krishi Sinchayee Yojana,3685.57,2026-27
TN_TIRUPPUR,TRANSPORT,State Rural Transport Connect,2685.57,2026-27
TN_KANYAKUMARI,WATER_SUPPLY,Jal Jeevan Mission,5121.67,2026-27
TN_KANYAKUMARI,SANITATION,Swachh Bharat Mission (Grameen),5441.67,2026-27
TN_KANYAKUMARI,ROADS,PM Gram Sadak Yojana,4741.67,2026-27
TN_KANYAKUMARI,ELECTRICITY,Revamped Distribution Sector Scheme,1871.67,2026-27
TN_KANYAKUMARI,HEALTH,PM Ayushman Bharat Health Infra,4871.67,2026-27
TN_KANYAKUMARI,EDUCATION,Samagra Shiksha Abhiyan,3111.67,2026-27
TN_KANYAKUMARI,DIGITAL,BharatNet Broadband Infra,3951.67,2026-27
TN_KANYAKUMARI,HOUSING,PM Awas Yojana,2971.67,2026-27
TN_KANYAKUMARI,IRRIGATION,PM Krishi Sinchayee Yojana,2251.67,2026-27
TN_KANYAKUMARI,TRANSPORT,State Rural Transport Connect,3851.67,2026-27
TN_THOOTHUKUDI,WATER_SUPPLY,Jal Jeevan Mission,907.58,2026-27
TN_THOOTHUKUDI,SANITATION,Swachh Bharat Mission (Grameen),1867.58,2026-27
TN_THOOTHUKUDI,ROADS,PM Gram Sadak Yojana,2727.58,2026-27
TN_THOOTHUKUDI,ELECTRICITY,Revamped Distribution Sector Scheme,2717.58,2026-27
TN_THOOTHUKUDI,HEALTH,PM Ayushman Bharat Health Infra,5727.58,2026-27
TN_THOOTHUKUDI,EDUCATION,Samagra Shiksha Abhiyan,3747.58,2026-27
TN_THOOTHUKUDI,DIGITAL,BharatNet Broadband Infra,2467.58,2026-27
TN_THOOTHUKUDI,HOUSING,PM Awas Yojana,1307.58,2026-27
TN_THOOTHUKUDI,IRRIGATION,PM Krishi Sinchayee Yojana,4467.58,2026-27
TN_THOOTHUKUDI,TRANSPORT,State Rural Transport Connect,3077.58,2026-27
TN_VILLUPURAM,WATER_SUPPLY,Jal Jeevan Mission,5271.85,2026-27
TN_VILLUPURAM,SANITATION,Swachh Bharat Mission (Grameen),1541.85,2026-27
TN_VILLUPURAM,ROADS,PM Gram Sadak Yojana,4251.85,2026-27
TN_VILLUPURAM,ELECTRICITY,Revamped Distribution Sector Scheme,5931.85,2026-27
TN_VILLUPURAM,HEALTH,PM Ayushman Bharat Health Infra,4201.85,2026-27
TN_VILLUPURAM,EDUCATION,Samagra Shiksha Abhiyan,1201.85,2026-27
TN_VILLUPURAM,DIGITAL,BharatNet Broadband Infra,3381.85,2026-27
TN_VILLUPURAM,HOUSING,PM Awas Yojana,4011.85,2026-27
TN_VILLUPURAM,IRRIGATION,PM Krishi Sinchayee Yojana,4331.85,2026-27
TN_VILLUPURAM,TRANSPORT,State Rural Transport Connect,1631.85,2026-27
TN_RAMANATHAPURAM,WATER_SUPPLY,Jal Jeevan Mission,4659.05,2026-27
TN_RAMANATHAPURAM,SANITATION,Swachh Bharat Mission (Grameen),3709.05,2026-27
TN_RAMANATHAPURAM,ROADS,PM Gram Sadak Yojana,2199.05,2026-27
TN_RAMANATHAPURAM,ELECTRICITY,Revamped Distribution Sector Scheme,1009.05,2026-27
TN_RAMANATHAPURAM,HEALTH,PM Ayushman Bharat Health Infra,1209.05,2026-27
TN_RAMANATHAPURAM,EDUCATION,Samagra Shiksha Abhiyan,1089.05,2026-27
TN_RAMANATHAPURAM,DIGITAL,BharatNet Broadband Infra,3529.05,2026-27
TN_RAMANATHAPURAM,HOUSING,PM Awas Yojana,4249.05,2026-27
TN_RAMANATHAPURAM,IRRIGATION,PM Krishi Sinchayee Yojana,5599.05,2026-27
TN_RAMANATHAPURAM,TRANSPORT,State Rural Transport Connect,949.05,2026-27
TN_PERAMBALUR,WATER_SUPPLY,Jal Jeevan Mission,2634.35,2026-27
TN_PERAMBALUR,SANITATION,Swachh Bharat Mission (Grameen),4494.35,2026-27
TN_PERAMBALUR,ROADS,PM Gram Sadak Yojana,2994.35,2026-27
TN_PERAMBALUR,ELECTRICITY,Revamped Distribution Sector Scheme,784.35,2026-27
TN_PERAMBALUR,HEALTH,PM Ayushman Bharat Health Infra,1314.35,2026-27
TN_PERAMBALUR,EDUCATION,Samagra Shiksha Abhiyan,3264.35,2026-27
TN_PERAMBALUR,DIGITAL,BharatNet Broadband Infra,4824.35,2026-27
TN_PERAMBALUR,HOUSING,PM Awas Yojana,2264.35,2026-27
TN_PERAMBALUR,IRRIGATION,PM Krishi Sinchayee Yojana,2144.35,2026-27
TN_PERAMBALUR,TRANSPORT,State Rural Transport Connect,4064.35,2026-27
TN_TIRUVANNAMALAI,WATER_SUPPLY,Jal Jeevan Mission,1169.19,2026-27
TN_TIRUVANNAMALAI,SANITATION,Swachh Bharat Mission (Grameen),5719.19,2026-27
TN_TIRUVANNAMALAI,ROADS,PM Gram Sadak Yojana,5749.19,2026-27
TN_TIRUVANNAMALAI,ELECTRICITY,Revamped Distribution Sector Scheme,2639.19,2026-27
TN_TIRUVANNAMALAI,HEALTH,PM Ayushman Bharat Health Infra,6079.19,2026-27
TN_TIRUVANNAMALAI,EDUCATION,Samagra Shiksha Abhiyan,5309.19,2026-27
TN_TIRUVANNAMALAI,DIGITAL,BharatNet Broadband Infra,5749.19,2026-27
TN_TIRUVANNAMALAI,HOUSING,PM Awas Yojana,3779.19,2026-27
TN_TIRUVANNAMALAI,IRRIGATION,PM Krishi Sinchayee Yojana,1489.19,2026-27
TN_TIRUVANNAMALAI,TRANSPORT,State Rural Transport Connect,4529.19,2026-27
TN_DHARMAPURI,WATER_SUPPLY,Jal Jeevan Mission,5548.08,2026-27
TN_DHARMAPURI,SANITATION,Swachh Bharat Mission (Grameen),4818.08,2026-27
TN_DHARMAPURI,ROADS,PM Gram Sadak Yojana,3148.08,2026-27
TN_DHARMAPURI,ELECTRICITY,Revamped Distribution Sector Scheme,1248.08,2026-27
TN_DHARMAPURI,HEALTH,PM Ayushman Bharat Health Infra,2098.08,2026-27
TN_DHARMAPURI,EDUCATION,Samagra Shiksha Abhiyan,1188.08,2026-27
TN_DHARMAPURI,DIGITAL,BharatNet Broadband Infra,1978.08,2026-27
TN_DHARMAPURI,HOUSING,PM Awas Yojana,4688.08,2026-27
TN_DHARMAPURI,IRRIGATION,PM Krishi Sinchayee Yojana,1978.08,2026-27
TN_DHARMAPURI,TRANSPORT,State Rural Transport Connect,5328.08,2026-27
TN_KRISHNAGIRI,WATER_SUPPLY,Jal Jeevan Mission,5385.91,2026-27
TN_KRISHNAGIRI,SANITATION,Swachh Bharat Mission (Grameen),4695.91,2026-27
TN_KRISHNAGIRI,ROADS,PM Gram Sadak Yojana,4985.91,2026-27
TN_KRISHNAGIRI,ELECTRICITY,Revamped Distribution Sector Scheme,5435.91,2026-27
TN_KRISHNAGIRI,HEALTH,PM Ayushman Bharat Health Infra,2195.91,2026-27
TN_KRISHNAGIRI,EDUCATION,Samagra Shiksha Abhiyan,2425.91,2026-27
TN_KRISHNAGIRI,DIGITAL,BharatNet Broadband Infra,5735.91,2026-27
TN_KRISHNAGIRI,HOUSING,PM Awas Yojana,2335.91,2026-27
TN_KRISHNAGIRI,IRRIGATION,PM Krishi Sinchayee Yojana,1625.91,2026-27
TN_KRISHNAGIRI,TRANSPORT,State Rural Transport Connect,1005.91,2026-27
TN_NAMAKKAL,WATER_SUPPLY,Jal Jeevan Mission,4656.97,2026-27
TN_NAMAKKAL,SANITATION,Swachh Bharat Mission (Grameen),4546.97,2026-27
TN_NAMAKKAL,ROADS,PM Gram Sadak Yojana,5336.97,2026-27
TN_NAMAKKAL,ELECTRICITY,Revamped Distribution Sector Scheme,1406.97,2026-27
TN_NAMAKKAL,HEALTH,PM Ayushman Bharat Health Infra,1076.97,2026-27
TN_NAMAKKAL,EDUCATION,Samagra Shiksha Abhiyan,2336.97,2026-27
TN_NAMAKKAL,DIGITAL,BharatNet Broadband Infra,5446.97,2026-27
TN_NAMAKKAL,HOUSING,PM Awas Yojana,2116.97,2026-27
TN_NAMAKKAL,IRRIGATION,PM Krishi Sinchayee Yojana,4796.97,2026-27
TN_NAMAKKAL,TRANSPORT,State Rural Transport Connect,1976.97,2026-27
TN_KARUR,WATER_SUPPLY,Jal Jeevan Mission,2529.02,2026-27
TN_KARUR,SANITATION,Swachh Bharat Mission (Grameen),1209.02,2026-27
TN_KARUR,ROADS,PM Gram Sadak Yojana,2919.02,2026-27
TN_KARUR,ELECTRICITY,Revamped Distribution Sector Scheme,4939.02,2026-27
TN_KARUR,HEALTH,PM Ayushman Bharat Health Infra,989.02,2026-27
TN_KARUR,EDUCATION,Samagra Shiksha Abhiyan,3439.02,2026-27
TN_KARUR,DIGITAL,BharatNet Broadband Infra,5209.02,2026-27
TN_KARUR,HOUSING,PM Awas Yojana,3179.02,2026-27
TN_KARUR,IRRIGATION,PM Krishi Sinchayee Yojana,3989.02,2026-27
TN_KARUR,TRANSPORT,State Rural Transport Connect,3739.02,2026-27
TN_VIRUDHUNAGAR,WATER_SUPPLY,Jal Jeevan Mission,5164.03,2026-27
TN_VIRUDHUNAGAR,SANITATION,Swachh Bharat Mission (Grameen),1984.03,2026-27
TN_VIRUDHUNAGAR,ROADS,PM Gram Sadak Yojana,2154.03,2026-27
TN_VIRUDHUNAGAR,ELECTRICITY,Revamped Distribution Sector Scheme,4284.03,2026-27
TN_VIRUDHUNAGAR,HEALTH,PM Ayushman Bharat Health Infra,1614.03,2026-27
TN_VIRUDHUNAGAR,EDUCATION,Samagra Shiksha Abhiyan,2064.03,2026-27
TN_VIRUDHUNAGAR,DIGITAL,BharatNet Broadband Infra,1144.03,2026-27
TN_VIRUDHUNAGAR,HOUSING,PM Awas Yojana,3664.03,2026-27
TN_VIRUDHUNAGAR,IRRIGATION,PM Krishi Sinchayee Yojana,2174.03,2026-27
TN_VIRUDHUNAGAR,TRANSPORT,State Rural Transport Connect,2934.03,2026-27
TN_THENI,WATER_SUPPLY,Jal Jeevan Mission,2180.65,2026-27
TN_THENI,SANITATION,Swachh Bharat Mission (Grameen),1230.65,2026-27
TN_THENI,ROADS,PM Gram Sadak Yojana,1390.65,2026-27
TN_THENI,ELECTRICITY,Revamped Distribution Sector Scheme,4060.65,2026-27
TN_THENI,HEALTH,PM Ayushman Bharat Health Infra,4700.65,2026-27
TN_THENI,EDUCATION,Samagra Shiksha Abhiyan,950.65,2026-27
TN_THENI,DIGITAL,BharatNet Broadband Infra,5460.65,2026-27
TN_THENI,HOUSING,PM Awas Yojana,3110.65,2026-27
TN_THENI,IRRIGATION,PM Krishi Sinchayee Yojana,1570.65,2026-27
TN_THENI,TRANSPORT,State Rural Transport Connect,4850.65,2026-27
TN_NILGIRIS,WATER_SUPPLY,Jal Jeevan Mission,3820.93,2026-27
TN_NILGIRIS,SANITATION,Swachh Bharat Mission (Grameen),1260.93,2026-27
TN_NILGIRIS,ROADS,PM Gram Sadak Yojana,1520.93,2026-27
TN_NILGIRIS,ELECTRICITY,Revamped Distribution Sector Scheme,1730.93,2026-27
TN_NILGIRIS,HEALTH,PM Ayushman Bharat Health Infra,3420.93,2026-27
TN_NILGIRIS,EDUCATION,Samagra Shiksha Abhiyan,2050.93,2026-27
TN_NILGIRIS,DIGITAL,BharatNet Broadband Infra,3490.93,2026-27
TN_NILGIRIS,HOUSING,PM Awas Yojana,910.93,2026-27
TN_NILGIRIS,IRRIGATION,PM Krishi Sinchayee Yojana,1280.93,2026-27
TN_NILGIRIS,TRANSPORT,State Rural Transport Connect,420.93,2026-27
TN_SIVAGANGA,WATER_SUPPLY,Jal Jeevan Mission,4532.6,2026-27
TN_SIVAGANGA,SANITATION,Swachh Bharat Mission (Grameen),1182.6,2026-27
TN_SIVAGANGA,ROADS,PM Gram Sadak Yojana,1742.6,2026-27
TN_SIVAGANGA,ELECTRICITY,Revamped Distribution Sector Scheme,1372.6,2026-27
TN_SIVAGANGA,HEALTH,PM Ayushman Bharat Health Infra,5012.6,2026-27
TN_SIVAGANGA,EDUCATION,Samagra Shiksha Abhiyan,5522.6,2026-27
TN_SIVAGANGA,DIGITAL,BharatNet Broadband Infra,2742.6,2026-27
TN_SIVAGANGA,HOUSING,PM Awas Yojana,1102.6,2026-27
TN_SIVAGANGA,IRRIGATION,PM Krishi Sinchayee Yojana,1232.6,2026-27
TN_SIVAGANGA,TRANSPORT,State Rural Transport Connect,4742.6,2026-27
TN_NAGAPATTINAM,WATER_SUPPLY,Jal Jeevan Mission,3733.68,2026-27
TN_NAGAPATTINAM,SANITATION,Swachh Bharat Mission (Grameen),2263.68,2026-27
TN_NAGAPATTINAM,ROADS,PM Gram Sadak Yojana,1773.68,2026-27
TN_NAGAPATTINAM,ELECTRICITY,Revamped Distribution Sector Scheme,3423.68,2026-27
TN_NAGAPATTINAM,HEALTH,PM Ayushman Bharat Health Infra,373.68,2026-27
TN_NAGAPATTINAM,EDUCATION,Samagra Shiksha Abhiyan,2233.68,2026-27
TN_NAGAPATTINAM,DIGITAL,BharatNet Broadband Infra,1523.68,2026-27
TN_NAGAPATTINAM,HOUSING,PM Awas Yojana,4213.68,2026-27
TN_NAGAPATTINAM,IRRIGATION,PM Krishi Sinchayee Yojana,1603.68,2026-27
TN_NAGAPATTINAM,TRANSPORT,State Rural Transport Connect,603.68,2026-27
TN_PUDUKKOTTAI,WATER_SUPPLY,Jal Jeevan Mission,5088.26,2026-27
TN_PUDUKKOTTAI,SANITATION,Swachh Bharat Mission (Grameen),5628.26,2026-27
TN_PUDUKKOTTAI,ROADS,PM Gram Sadak Yojana,1168.26,2026-27
TN_PUDUKKOTTAI,ELECTRICITY,Revamped Distribution Sector Scheme,3608.26,2026-27
TN_PUDUKKOTTAI,HEALTH,PM Ayushman Bharat Health Infra,2138.26,2026-27
TN_PUDUKKOTTAI,EDUCATION,Samagra Shiksha Abhiyan,5478.26,2026-27
TN_PUDUKKOTTAI,DIGITAL,BharatNet Broadband Infra,3868.26,2026-27
TN_PUDUKKOTTAI,HOUSING,PM Awas Yojana,4818.26,2026-27
TN_PUDUKKOTTAI,IRRIGATION,PM Krishi Sinchayee Yojana,3548.26,2026-27
TN_PUDUKKOTTAI,TRANSPORT,State Rural Transport Connect,5608.26,2026-27
TN_CHENGALPATTU,WATER_SUPPLY,Jal Jeevan Mission,5380.31,2026-27
TN_CHENGALPATTU,SANITATION,Swachh Bharat Mission (Grameen),2960.31,2026-27
TN_CHENGALPATTU,ROADS,PM Gram Sadak Yojana,1930.31,2026-27
TN_CHENGALPATTU,ELECTRICITY,Revamped Distribution Sector Scheme,4690.31,2026-27
TN_CHENGALPATTU,HEALTH,PM Ayushman Bharat Health Infra,4300.31,2026-27
TN_CHENGALPATTU,EDUCATION,Samagra Shiksha Abhiyan,2000.31,2026-27
TN_CHENGALPATTU,DIGITAL,BharatNet Broadband Infra,2150.31,2026-27
TN_CHENGALPATTU,HOUSING,PM Awas Yojana,2320.31,2026-27
TN_CHENGALPATTU,IRRIGATION,PM Krishi Sinchayee Yojana,1260.31,2026-27
TN_CHENGALPATTU,TRANSPORT,State Rural Transport Connect,4890.31,2026-27
TN_RANIPET,WATER_SUPPLY,Jal Jeevan Mission,1634.62,2026-27
TN_RANIPET,SANITATION,Swachh Bharat Mission (Grameen),5484.62,2026-27
TN_RANIPET,ROADS,PM Gram Sadak Yojana,2524.62,2026-27
TN_RANIPET,ELECTRICITY,Revamped Distribution Sector Scheme,5204.62,2026-27
TN_RANIPET,HEALTH,PM Ayushman Bharat Health Infra,2124.62,2026-27
TN_RANIPET,EDUCATION,Samagra Shiksha Abhiyan,2904.62,2026-27
TN_RANIPET,DIGITAL,BharatNet Broadband Infra,4964.62,2026-27
TN_RANIPET,HOUSING,PM Awas Yojana,3554.62,2026-27
TN_RANIPET,IRRIGATION,PM Krishi Sinchayee Yojana,1094.62,2026-27
TN_RANIPET,TRANSPORT,State Rural Transport Connect,3794.62,2026-27
TN_TIRUPATHUR,WATER_SUPPLY,Jal Jeevan Mission,1480.32,2026-27
TN_TIRUPATHUR,SANITATION,Swachh Bharat Mission (Grameen),1010.32,2026-27
TN_TIRUPATHUR,ROADS,PM Gram Sadak Yojana,2050.32,2026-27
TN_TIRUPATHUR,ELECTRICITY,Revamped Distribution Sector Scheme,1280.32,2026-27
TN_TIRUPATHUR,HEALTH,PM Ayushman Bharat Health Infra,5100.32,2026-27
TN_TIRUPATHUR,EDUCATION,Samagra Shiksha Abhiyan,4450.32,2026-27
TN_TIRUPATHUR,DIGITAL,BharatNet Broadband Infra,950.32,2026-27
TN_TIRUPATHUR,HOUSING,PM Awas Yojana,720.32,2026-27
TN_TIRUPATHUR,IRRIGATION,PM Krishi Sinchayee Yojana,3430.32,2026-27
TN_TIRUPATHUR,TRANSPORT,State Rural Transport Connect,2510.32,2026-27
