district_code,category,scheme,allocated_inr_lakh,fiscal_year
TN_MADURAI,HOUSING,PM Awas Yojana,2177.21,2026-27
TN_MADURAI,IRRIGATION,PM Krishi Sinchayee Yojana,4777.21,2026-27
TN_MADURAI,TRANSPORT,State Rural Transport Connect,5347.21,2026-27
TN_TIRUCHIRAPPALLI,WATER_SUPPLY,Jal Jeevan Mission,5515.03,2026-27
TN_TIRUCHIRAPPALLI,SANITATION,Swachh Bharat Mission (Grameen),1935.03,2026-27
TN_TIRUCHIRAPPALLI,ROADS,PM Gram Sadak Yojana,2505.03,2026-27
TN_TIRUCHIRAPPALLI,ELECTRICITY,Revamped Distribution Sector Scheme,5905.03,2026-27
TN_TIRUCHIRAPPALLI,HEALTH,PM Ayushman Bharat Health Infra,3415.03,2026-27
TN_TIRUCHIRAPPALLI,EDUCATION,Samagra Shiksha Abhiyan,1815.03,2026-27
TN_TIRUCHIRAPPALLI,DIGITAL,BharatNet Broadband Infra,5255.03,2026-27
TN_TIRUCHIRAPPALLI,HOUSING,PM Awas Yojana,1895.03,2026-27
TN_TIRUCHIRAPPALLI,IRRIGATION,PM Krishi Sinchayee Yojana,2195.03,2026-27
TN_TIRUCHIRAPPALLI,TRANSPORT,State Rural Transport Connect,5355.03,2026-27
TN_SALEM,WATER_SUPPLY,Jal Jeevan Mission,6086.93,2026-27
TN_SALEM,SANITATION,Swachh Bharat Mission (Grameen),2096.93,2026-27
TN_SALEM,ROADS,PM Gram Sadak Yojana,5756.93,2026-27
TN_SALEM,ELECTRICITY,Revamped Distribution Sector Scheme,4506.93,2026-27
TN_SALEM,HEALTH,PM Ayushman Bharat Health Infra,4766.93,2026-27
TN_SALEM,EDUCATION,Samagra Shiksha Abhiyan,1896.93,2026-27
TN_SALEM,DIGITAL,BharatNet Broadband Infra,2106.93,2026-27
TN_SALEM,HOUSING,PM Awas Yojana,3616.93,2026-27
TN_SALEM,IRRIGATION,PM Krishi Sinchayee Yojana,2956.93,2026-27
TN_SALEM,TRANSPORT,State Rural Transport Connect,3036.93,2026-27
TN_TIRUNELVELI,WATER_SUPPLY,Jal Jeevan Mission,4939.36,2026-27
TN_TIRUNELVELI,SANITATION,Swachh Bharat Mission (Grameen),4249.36,2026-27
TN_TIRUNELVELI,ROADS,PM Gram Sadak Yojana,1379.36,2026-27
TN_TIRUNELVELI,ELECTRICITY,Revamped Distribution Sector Scheme,3839.36,2026-27
TN_TIRUNELVELI,HEALTH,PM Ayushman Bharat Health Infra,979.36,2026-27
TN_TIRUNELVELI,EDUCATION,Samagra Shiksha Abhiyan,3629.36,2026-27
TN_TIRUNELVELI,DIGITAL,BharatNet Broadband Infra,2629.36,2026-27
TN_TIRUNELVELI,HOUSING,PM Awas Yojana,1669.36,2026-27
TN_TIRUNELVELI,IRRIGATION,PM Krishi Sinchayee Yojana,1279.36,2026-27
TN_TIRUNELVELI,TRANSPORT,State Rural Transport Connect,5289.36,2026-27
TN_ERODE,WATER_SUPPLY,Jal Jeevan Mission,5153.28,2026-27
TN_ERODE,SANITATION,Swachh Bharat Mission (Grameen),2353.28,2026-27
TN_ERODE,ROADS,PM Gram Sadak Yojana,4163.28,2026-27
TN_ERODE,ELECTRICITY,Revamped Distribution Sector Scheme,4813.28,2026-27
TN_ERODE,HEALTH,PM Ayushman Bharat Health Infra,1103.28,2026-27
TN_ERODE,EDUCATION,Samagra Shiksha Abhiyan,5233.28,2026-27
TN_ERODE,DIGITAL,BharatNet Broadband Infra,3283.28,2026-27
TN_ERODE,HOUSING,PM Awas Yojana,4223.28,2026-27
TN_ERODE,IRRIGATION,PM Krishi Sinchayee Yojana,1553.28,2026-27
TN_ERODE,TRANSPORT,State Rural Transport Connect,1833.28,2026-27
TN_VELLORE,WATER_SUPPLY,Jal Jeevan Mission,2386.41,2026-27
TN_VELLORE,SANITATION,Swachh Bharat Mission (Grameen),4366.41,2026-27
TN_VELLORE,ROADS,PM Gram Sadak Yojana,2686.41,2026-27
TN_VELLORE,ELECTRICITY,Revamped Distribution Sector Scheme,3186.41,2026-27
TN_VELLORE,HEALTH,PM Ayushman Bharat Health Infra,2876.41,2026-27
TN_VELLORE,EDUCATION,Samagra Shiksha Abhiyan,2596.41,2026-27
TN_VELLORE,DIGITAL,BharatNet Broadband Infra,4336.41,2026-27
TN_VELLORE,HOUSING,PM Awas Yojana,4996.41,2026-27
TN_VELLORE,IRRIGATION,PM Krishi Sinchayee Yojana,1146.41,2026-27
TN_VELLORE,TRANSPORT,State Rural Transport Connect,5196.41,2026-27
TN_THANJAVUR,WATER_SUPPLY,Jal Jeevan Mission,5322.65,2026-27
TN_THANJAVUR,SANITATION,Swachh Bharat Mission (Grameen),1642.65,2026-27
TN_THANJAVUR,ROADS,PM Gram Sadak Yojana,3342.65,2026-27
TN_THANJAVUR,ELECTRICITY,Revamped Distribution Sector Scheme,2712.65,2026-27
TN_THANJAVUR,HEALTH,PM Ayushman Bharat Health Infra,5092.65,2026-27
TN_THANJAVUR,EDUCATION,Samagra Shiksha Abhiyan,5992.65,2026-27
TN_THANJAVUR,DIGITAL,BharatNet Broadband Infra,4542.65,2026-27
TN_THANJAVUR,HOUSING,PM Awas Yojana,3712.65,2026-27
TN_THANJAVUR,IRRIGATION,PM Krishi Sinchayee Yojana,1312.65,2026-27
TN_THANJAVUR,TRANSPORT,State Rural Transport Connect,3782.65,2026-27
TN_DINDIGUL,WATER_SUPPLY,Jal Jeevan Mission,2271.9,2026-27
TN_DINDIGUL,SANITATION,Swachh Bharat Mission (Grameen),5061.9,2026-27
TN_DINDIGUL,ROADS,PM Gram Sadak Yojana,1851.9,2026-27
TN_DINDIGUL,ELECTRICITY,Revamped Distribution Sector Scheme,1291.9,2026-27
TN_DINDIGUL,HEALTH,PM Ayushman Bharat Health Infra,4591.9,2026-27
TN_DINDIGUL,EDUCATION,Samagra Shiksha Abhiyan,5471.9,2026-27
TN_DINDIGUL,DIGITAL,BharatNet Broadband Infra,4801.9,2026-27
TN_DINDIGUL,HOUSING,PM Awas Yojana,4261.9,2026-27
TN_DINDIGUL,IRRIGATION,PM Krishi Sinchayee Yojana,5801.9,2026-27
TN_DINDIGUL,TRANSPORT,State Rural Transport Connect,4801.9,2026-27
TN_KANCHIPURAM,WATER_SUPPLY,Jal Jeevan Mission,4064.88,2026-27
TN_KANCHIPURAM,SANITATION,Swachh Bharat Mission (Grameen),1674.88,2026-27
TN_KANCHIPURAM,ROADS,PM Gram Sadak Yojana,674.88,2026-27
TN_KANCHIPURAM,ELECTRICITY,Revamped Distribution Sector Scheme,2834.88,2026-27
TN_KANCHIPURAM,HEALTH,PM Ayushman Bharat Health Infra,654.88,2026-27
TN_KANCHIPURAM,EDUCATION,Samagra Shiksha Abhiyan,3704.88,2026-27
TN_KANCHIPURAM,DIGITAL,BharatNet Broadband Infra,4394.88,2026-27
TN_KANCHIPURAM,HOUSING,PM Awas Yojana,5044.88,2026-27
TN_KANCHIPURAM,IRRIGATION,PM Krishi Sinchayee Yojana,1264.88,2026-27
TN_KANCHIPURAM,TRANSPORT,State Rural Transport Connect,1434.88,2026-27
TN_CUDDALORE,WATER_SUPPLY,Jal Jeevan Mission,4182.66,2026-27
TN_CUDDALORE,SANITATION,Swachh Bharat Mission (Grameen),5422.66,2026-27
TN_CUDDALORE,ROADS,PM Gram Sadak Yojana,2472.66,2026-27
TN_CUDDALORE,ELECTRICITY,Revamped Distribution Sector Scheme,2572.66,2026-27
TN_CUDDALORE,HEALTH,PM Ayushman Bharat Health Infra,6142.66,2026-27
TN_CUDDALORE,EDUCATION,Samagra Shiksha Abhiyan,5472.66,2026-27
TN_CUDDALORE,DIGITAL,BharatNet Broadband Infra,1392.66,2026-27
TN_CUDDALORE,HOUSING,PM Awas Yojana,4212.66,2026-27
TN_CUDDALORE,IRRIGATION,PM Krishi Sinchayee Yojana,3172.66,2026-27
TN_CUDDALORE,TRANSPORT,State Rural Transport Connect,5872.66,2026-27
TN_TIRUPPUR,WATER_SUPPLY,Jal Jeevan Mission,2565.57,2026-27
TN_TIRUPPUR,SANITATION,Swachh Bharat Mission (Grameen),4755.57,2026-27
TN_TIRUPPUR,ROADS,PM Gram Sadak Yojana,1405.57,2026-27
TN_TIRUPPUR,ELECTRICITY,Revamped Distribution Sector Scheme,3465.57,2026-27
TN_TIRUPPUR,HEALTH,PM Ayushman Bharat Health Infra,2715.57,2026-27
TN_TIRUPPUR,EDUCATION,Samagra Shiksha Abhiyan,3065.57,2026-27
TN_TIRUPPUR,DIGITAL,BharatNet Broadband Infra,4155.57,2026-27
TN_TIRUPPUR,HOUSING,PM Awas Yojana,5395.57,2026-27
TN_TIRUPPUR,IRRIGATION,PM Krishi Sinchayee Yojana,4135.57,2026-27
TN_TIRUPPUR,TRANSPORT,State Rural Transport Connect,4155.57,2026-27
TN_KANYAKUMARI,WATER_SUPPLY,Jal Jeevan Mission,5561.67,2026-27
TN_KANYAKUMARI,SANITATION,Swachh Bharat Mission (Grameen),1771.67,2026-27
TN_KANYAKUMARI,ROADS,PM Gram Sadak Yojana,2401.67,2026-27
TN_KANYAKUMARI,ELECTRICITY,Revamped Distribution Sector Scheme,3651.67,2026-27
TN_KANYAKUMARI,HEALTH,PM Ayushman Bharat Health Infra,2221.67,2026-27
TN_KANYAKUMARI,EDUCATION,Samagra Shiksha Abhiyan,1701.67,2026-27
TN_KANYAKUMARI,DIGITAL,BharatNet Broadband Infra,2011.67,2026-27
TN_KANYAKUMARI,HOUSING,PM Awas Yojana,2721.67,2026-27
TN_KANYAKUMARI,IRRIGATION,PM Krishi Sinchayee Yojana,3561.67,2026-27
TN_KANYAKUMARI,TRANSPORT,State Rural Transport Connect,1861.67,2026-27
TN_THOOTHUKUDI,WATER_SUPPLY,Jal Jeevan Mission,5457.58,2026-27
TN_THOOTHUKUDI,SANITATION,Swachh Bharat Mission (Grameen),4257.58,2026-27
TN_THOOTHUKUDI,ROADS,PM Gram Sadak Yojana,4237.58,2026-27
TN_THOOTHUKUDI,ELECTRICITY,Revamped Distribution Sector Scheme,787.58,2026-27
TN_THOOTHUKUDI,HEALTH,PM Ayushman Bharat Health Infra,1647.58,2026-27
TN_THOOTHUKUDI,EDUCATION,Samagra Shiksha Abhiyan,1657.58,2026-27
TN_THOOTHUKUDI,DIGITAL,BharatNet Broadband Infra,2777.58,2026-27
TN_THOOTHUKUDI,HOUSING,PM Awas Yojana,3807.58,2026-27
TN_THOOTHUKUDI,IRRIGATION,PM Krishi Sinchayee Yojana,3577.58,2026-27
TN_THOOTHUKUDI,TRANSPORT,State Rural Transport Connect,2067.58,2026-27
TN_VILLUPURAM,WATER_SUPPLY,Jal Jeevan Mission,2031.85,2026-27
TN_VILLUPURAM,SANITATION,Swachh Bharat Mission (Grameen),5591.85,2026-27
TN_VILLUPURAM,ROADS,PM Gram Sadak Yojana,4311.85,2026-27
TN_VILLUPURAM,ELECTRICITY,Revamped Distribution Sector Scheme,4861.85,2026-27
TN_VILLUPURAM,HEALTH,PM Ayushman Bharat Health Infra,2191.85,2026-27
TN_VILLUPURAM,EDUCATION,Samagra Shiksha Abhiyan,1061.85,2026-27
TN_VILLUPURAM,DIGITAL,BharatNet Broadband Infra,1661.85,2026-27
TN_VILLUPURAM,HOUSING,PM Awas Yojana,3991.85,2026-27
TN_VILLUPURAM,IRRIGATION,PM Krishi Sinchayee Yojana,1381.85,2026-27
TN_VILLUPURAM,TRANSPORT,State Rural Transport Connect,5851.85,2026-27
TN_RAMANATHAPURAM,WATER_SUPPLY,Jal Jeevan Mission,829.05,2026-27
TN_RAMANATHAPURAM,SANITATION,Swachh Bharat Mission (Grameen),3109.05,2026-27
TN_RAMANATHAPURAM,ROADS,PM Gram Sadak Yojana,1199.05,2026-27
TN_RAMANATHAPURAM,ELECTRICITY,Revamped Distribution Sector Scheme,2599.05,2026-27
TN_RAMANATHAPURAM,HEALTH,PM Ayushman Bharat Health Infra,4329.05,2026-27
TN_RAMANATHAPURAM,EDUCATION,Samagra Shiksha Abhiyan,3949.05,2026-27
TN_RAMANATHAPURAM,DIGITAL,BharatNet Broadband Infra,4019.05,2026-27
TN_RAMANATHAPURAM,HOUSING,PM Awas Yojana,1709.05,2026-27
TN_RAMANATHAPURAM,IRRIGATION,PM Krishi Sinchayee Yojana,4969.05,2026-27
TN_RAMANATHAPURAM,TRANSPORT,State Rural Transport Connect,639.05,2026-27
TN_PERAMBALUR,WATER_SUPPLY,Jal Jeevan Mission,4574.35,2026-27
TN_PERAMBALUR,SANITATION,Swachh Bharat Mission (Grameen),4824.35,2026-27
TN_PERAMBALUR,ROADS,PM Gram Sadak Yojana,1384.35,2026-27
TN_PERAMBALUR,ELECTRICITY,Revamped Distribution Sector Scheme,1014.35,2026-27
TN_PERAMBALUR,HEALTH,PM Ayushman Bharat Health Infra,2244.35,2026-27
TN_PERAMBALUR,EDUCATION,Samagra Shiksha Abhiyan,2954.35,2026-27
TN_PERAMBALUR,DIGITAL,BharatNet Broadband Infra,294.35,2026-27
TN_PERAMBALUR,HOUSING,PM Awas Yojana,1464.35,2026-27
TN_PERAMBALUR,IRRIGATION,PM Krishi Sinchayee Yojana,3524.35,2026-27
TN_PERAMBALUR,TRANSPORT,State Rural Transport Connect,2434.35,2026-27
TN_TIRUVANNAMALAI,WATER_SUPPLY,Jal Jeevan Mission,3089.19,2026-27
TN_TIRUVANNAMALAI,SANITATION,Swachh Bharat Mission (Grameen),3369.19,2026-27
TN_TIRUVANNAMALAI,ROADS,PM Gram Sadak Yojana,4649.19,2026-27
TN_TIRUVANNAMALAI,ELECTRICITY,Revamped Distribution Sector Scheme,2339.19,2026-27
TN_TIRUVANNAMALAI,HEALTH,PM Ayushman Bharat Health Infra,2639.19,2026-27
TN_TIRUVANNAMALAI,EDUCATION,Samagra Shiksha Abhiyan,2549.19,2026-27
TN_TIRUVANNAMALAI,DIGITAL,BharatNet Broadband Infra,5159.19,2026-27
TN_TIRUVANNAMALAI,HOUSING,PM Awas Yojana,5799.19,2026-27
TN_TIRUVANNAMALAI,IRRIGATION,PM Krishi Sinchayee Yojana,4159.19,2026-27
TN_TIRUVANNAMALAI,TRANSPORT,State Rural Transport Connect,5819.19,2026-27
TN_DHARMAPURI,WATER_SUPPLY,Jal Jeevan Mission,1518.08,2026-27
TN_DHARMAPURI,SANITATION,Swachh Bharat Mission (Grameen),1248.08,2026-27
TN_DHARMAPURI,ROADS,PM Gram Sadak Yojana,3008.08,2026-27
TN_DHARMAPURI,ELECTRICITY,Revamped Distribution Sector Scheme,3568.08,2026-27
TN_DHARMAPURI,HEALTH,PM Ayushman Bharat Health Infra,1808.08,2026-27
TN_DHARMAPURI,EDUCATION,Samagra Shiksha Abhiyan,3548.08,2026-27
TN_DHARMAPURI,DIGITAL,BharatNet Broadband Infra,3548.08,2026-27
TN_DHARMAPURI,HOUSING,PM Awas Yojana,4638.08,2026-27
TN_DHARMAPURI,IRRIGATION,PM Krishi Sinchayee Yojana,4828.08,2026-27
TN_DHARMAPURI,TRANSPORT,State Rural Transport Connect,4968.08,2026-27
TN_KRISHNAGIRI,WATER_SUPPLY,Jal Jeevan Mission,3875.91,2026-27
TN_KRISHNAGIRI,SANITATION,Swachh Bharat Mission (Grameen),3005.91,2026-27
TN_KRISHNAGIRI,ROADS,PM Gram Sadak Yojana,1145.91,2026-27
TN_KRISHNAGIRI,ELECTRICITY,Revamped Distribution Sector Scheme,5325.91,2026-27
TN_KRISHNAGIRI,HEALTH,PM Ayushman Bharat Health Infra,5535.91,2026-27
TN_KRISHNAGIRI,EDUCATION,Samagra Shiksha Abhiyan,3495.91,2026-27
TN_KRISHNAGIRI,DIGITAL,BharatNet Broadband Infra,1615.91,2026-27
TN_KRISHNAGIRI,HOUSING,PM Awas Yojana,3725.91,2026-27
TN_KRISHNAGIRI,IRRIGATION,PM Krishi Sinchayee Yojana,2655.91,2026-27
TN_KRISHNAGIRI,TRANSPORT,State Rural Transport Connect,1895.91,2026-27
TN_NAMAKKAL,WATER_SUPPLY,Jal Jeevan Mission,3496.97,2026-27
TN_NAMAKKAL,SANITATION,Swachh Bharat Mission (Grameen),2396.97,2026-27
TN_NAMAKKAL,ROADS,PM Gram Sadak Yojana,1296.97,2026-27
TN_NAMAKKAL,ELECTRICITY,Revamped Distribution Sector Scheme,5146.97,2026-27
TN_NAMAKKAL,HEALTH,PM Ayushman Bharat Health Infra,3726.97,2026-27
TN_NAMAKKAL,EDUCATION,Samagra Shiksha Abhiyan,3686.97,2026-27
TN_NAMAKKAL,DIGITAL,BharatNet Broadband Infra,3216.97,2026-27
TN_NAMAKKAL,HOUSING,PM Awas Yojana,2976.97,2026-27
TN_NAMAKKAL,IRRIGATION,PM Krishi Sinchayee Yojana,1606.97,2026-27
TN_NAMAKKAL,TRANSPORT,State Rural Transport Connect,2166.97,2026-27
TN_KARUR,WATER_SUPPLY,Jal Jeevan Mission,909.02,2026-27
TN_KARUR,SANITATION,Swachh Bharat Mission (Grameen),4759.02,2026-27
TN_KARUR,ROADS,PM Gram Sadak Yojana,4559.02,2026-27
TN_KARUR,ELECTRICITY,Revamped Distribution Sector Scheme,929.02,2026-27
TN_KARUR,HEALTH,PM Ayushman Bharat Health Infra,3109.02,2026-27
TN_KARUR,EDUCATION,Samagra Shiksha Abhiyan,4489.02,2026-27
TN_KARUR,DIGITAL,BharatNet Broadband Infra,3849.02,2026-27
TN_KARUR,HOUSING,PM Awas Yojana,1759.02,2026-27
TN_KARUR,IRRIGATION,PM Krishi Sinchayee Yojana,699.02,2026-27
TN_KARUR,TRANSPORT,State Rural Transport Connect,3359.02,2026-27
TN_VIRUDHUNAGAR,WATER_SUPPLY,Jal Jeevan Mission,1984.03,2026-27
TN_VIRUDHUNAGAR,SANITATION,Swachh Bharat Mission (Grameen),1614.03,2026-27
TN_VIRUDHUNAGAR,ROADS,PM Gram Sadak Yojana,1814.03,2026-27
TN_VIRUDHUNAGAR,ELECTRICITY,Revamped Distribution Sector Scheme,3844.03,2026-27
TN_VIRUDHUNAGAR,HEALTH,PM Ayushman Bharat Health Infra,3504.03,2026-27
TN_VIRUDHUNAGAR,EDUCATION,Samagra Shiksha Abhiyan,4994.03,2026-27
TN_VIRUDHUNAGAR,DIGITAL,BharatNet Broadband Infra,2774.03,2026-27
TN_VIRUDHUNAGAR,HOUSING,PM Awas Yojana,5754.03,2026-27
TN_VIRUDHUNAGAR,IRRIGATION,PM Krishi Sinchayee Yojana,2284.03,2026-27
TN_VIRUDHUNAGAR,TRANSPORT,State Rural Transport Connect,2134.03,2026-27
TN_THENI,WATER_SUPPLY,Jal Jeevan Mission,700.65,2026-27
TN_THENI,SANITATION,Swachh Bharat Mission (Grameen),2840.65,2026-27
TN_THENI,ROADS,PM Gram Sadak Yojana,1530.65,2026-27
TN_THENI,ELECTRICITY,Revamped Distribution Sector Scheme,5170.65,2026-27
TN_THENI,HEALTH,PM Ayushman Bharat Health Infra,4200.65,2026-27
TN_THENI,EDUCATION,Samagra Shiksha Abhiyan,720.65,2026-27
TN_THENI,DIGITAL,BharatNet Broadband Infra,1480.65,2026-27
TN_THENI,HOUSING,PM Awas Yojana,2650.65,2026-27
TN_THENI,IRRIGATION,PM Krishi Sinchayee Yojana,4170.65,2026-27
TN_THENI,TRANSPORT,State Rural Transport Connect,1580.65,2026-27
TN_NILGIRIS,WATER_SUPPLY,Jal Jeevan Mission,3230.93,2026-27
TN_NILGIRIS,SANITATION,Swachh Bharat Mission (Grameen),3190.93,2026-27
TN_NILGIRIS,ROADS,PM Gram Sadak Yojana,3760.93,2026-27
TN_NILGIRIS,ELECTRICITY,Revamped Distribution Sector Scheme,3120.93,2026-27
TN_NILGIRIS,HEALTH,PM Ayushman Bharat Health Infra,4640.93,2026-27
TN_NILGIRIS,EDUCATION,Samagra Shiksha Abhiyan,3890.93,2026-27
TN_NILGIRIS,DIGITAL,BharatNet Broadband Infra,2050.93,2026-27
TN_NILGIRIS,HOUSING,PM Awas Yojana,3590.93,2026-27
TN_NILGIRIS,IRRIGATION,PM Krishi Sinchayee Yojana,3910.93,2026-27
TN_NILGIRIS,TRANSPORT,State Rural Transport Connect,1460.93,2026-27
TN_SIVAGANGA,WATER_SUPPLY,Jal Jeevan Mission,2902.6,2026-27
TN_SIVAGANGA,SANITATION,Swachh Bharat Mission (Grameen),2332.6,2026-27
TN_SIVAGANGA,ROADS,PM Gram Sadak Yojana,5132.6,2026-27
TN_SIVAGANGA,ELECTRICITY,Revamped Distribution Sector Scheme,5452.6,2026-27
TN_SIVAGANGA,HEALTH,PM Ayushman Bharat Health Infra,3952.6,2026-27
TN_SIVAGANGA,EDUCATION,Samagra Shiksha Abhiyan,3762.6,2026-27
TN_SIVAGANGA,DIGITAL,BharatNet Broadband Infra,1022.6,2026-27
TN_SIVAGANGA,HOUSING,PM Awas Yojana,4062.6,2026-27
TN_SIVAGANGA,IRRIGATION,PM Krishi Sinchayee Yojana,4922.6,2026-27
TN_SIVAGANGA,TRANSPORT,State Rural Transport Connect,4732.6,2026-27
TN_NAGAPATTINAM,WATER_SUPPLY,Jal Jeevan Mission,3193.68,2026-27
TN_NAGAPATTINAM,SANITATION,Swachh Bharat Mission (Grameen),1733.68,2026-27
TN_NAGAPATTINAM,ROADS,PM Gram Sadak Yojana,2753.68,2026-27
TN_NAGAPATTINAM,ELECTRICITY,Revamped Distribution Sector Scheme,443.68,2026-27
TN_NAGAPATTINAM,HEALTH,PM Ayushman Bharat Health Infra,4693.68,2026-27
TN_NAGAPATTINAM,EDUCATION,Samagra Shiksha Abhiyan,3003.68,2026-27
TN_NAGAPATTINAM,DIGITAL,BharatNet Broadband Infra,2713.68,2026-27
TN_NAGAPATTINAM,HOUSING,PM Awas Yojana,5263.68,2026-27
TN_NAGAPATTINAM,IRRIGATION,PM Krishi Sinchayee Yojana,1323.68,2026-27
TN_NAGAPATTINAM,TRANSPORT,State Rural Transport Connect,4343.68,2026-27
TN_PUDUKKOTTAI,WATER_SUPPLY,Jal Jeevan Mission,3918.26,2026-27
TN_PUDUKKOTTAI,SANITATION,Swachh Bharat Mission (Grameen),3088.26,2026-27
TN_PUDUKKOTTAI,ROADS,PM Gram Sadak Yojana,1948.26,2026-27
TN_PUDUKKOTTAI,ELECTRICITY,Revamped Distribution Sector Scheme,4898.26,2026-27
TN_PUDUKKOTTAI,HEALTH,PM Ayushman Bharat Health Infra,778.26,2026-27
TN_PUDUKKOTTAI,EDUCATION,Samagra Shiksha Abhiyan,4838.26,2026-27
TN_PUDUKKOTTAI,DIGITAL,BharatNet Broadband Infra,5488.26,2026-27
TN_PUDUKKOTTAI,HOUSING,PM Awas Yojana,3418.26,2026-27
TN_PUDUKKOTTAI,IRRIGATION,PM Krishi Sinchayee Yojana,758.26,2026-27
TN_PUDUKKOTTAI,TRANSPORT,State Rural Transport Connect,2428.26,2026-27
TN_CHENGALPATTU,WATER_SUPPLY,Jal Jeevan Mission,2960.31,2026-27
TN_CHENGALPATTU,SANITATION,Swachh Bharat Mission (Grameen),5330.31,2026-27
TN_CHENGALPATTU,ROADS,PM Gram Sadak Yojana,5030.31,2026-27
TN_CHENGALPATTU,ELECTRICITY,Revamped Distribution Sector Scheme,1810.31,2026-27
TN_CHENGALPATTU,HEALTH,PM Ayushman Bharat Health Infra,5910.31,2026-27
TN_CHENGALPATTU,EDUCATION,Samagra Shiksha Abhiyan,4210.31,2026-27
TN_CHENGALPATTU,DIGITAL,BharatNet Broadband Infra,3670.31,2026-27
TN_CHENGALPATTU,HOUSING,PM Awas Yojana,2290.31,2026-27
TN_CHENGALPATTU,IRRIGATION,PM Krishi Sinchayee Yojana,4610.31,2026-27
TN_CHENGALPATTU,TRANSPORT,State Rural Transport Connect,1810.31,2026-27
TN_RANIPET,WATER_SUPPLY,Jal Jeevan Mission,3184.62,2026-27
TN_RANIPET,SANITATION,Swachh Bharat Mission (Grameen),4574.62,2026-27
TN_RANIPET,ROADS,PM Gram Sadak Yojana,5474.62,2026-27
TN_RANIPET,ELECTRICITY,Revamped Distribution Sector Scheme,5094.62,2026-27
TN_RANIPET,HEALTH,PM Ayushman Bharat Health Infra,3784.62,2026-27
TN_RANIPET,EDUCATION,Samagra Shiksha Abhiyan,4394.62,2026-27
TN_RANIPET,DIGITAL,BharatNet Broadband Infra,964.62,2026-27
TN_RANIPET,HOUSING,PM Awas Yojana,2054.62,2026-27
TN_RANIPET,IRRIGATION,PM Krishi Sinchayee Yojana,3064.62,2026-27
TN_RANIPET,TRANSPORT,State Rural Transport Connect,3684.62,2026-27
TN_TIRUPATHUR,WATER_SUPPLY,Jal Jeevan Mission,1660.32,2026-27
TN_TIRUPATHUR,SANITATION,Swachh Bharat Mission (Grameen),3000.32,2026-27
TN_TIRUPATHUR,ROADS,PM Gram Sadak Yojana,3140.32,2026-27
TN_TIRUPATHUR,ELECTRICITY,Revamped Distribution Sector Scheme,550.32,2026-27
TN_TIRUPATHUR,HEALTH,PM Ayushman Bharat Health Infra,1360.32,2026-27
TN_TIRUPATHUR,EDUCATION,Samagra Shiksha Abhiyan,5120.32,2026-27
TN_TIRUPATHUR,DIGITAL,BharatNet Broadband Infra,1780.32,2026-27
TN_TIRUPATHUR,HOUSING,PM Awas Yojana,5280.32,2026-27
TN_TIRUPATHUR,IRRIGATION,PM Krishi Sinchayee Yojana,500.32,2026-27
TN_TIRUPATHUR,TRANSPORT,State Rural Transport Connect,1200.32,2026-27
